-2.34864,37.35666,"F060 A300 A-334 Km 49.8 Purchena DIR Huércal-Overa" 
-3.89040,40.16704,"F060 A300 CM-4008 Km 2.74 Carranque DIR Illescas" 
0.14238,38.77532,"F060 A300 CV-734 Km 6.1 Gata de Gorgos DIR Jávea" 
-3.60875,37.23200,"F060 A300 GR-3424 Km 2.1 Peligros-Pulianas DIR Granada" 
-3.57226,40.49052,"F060 A300 M-111 Km 1.4 Barajas Túnel DIR Paracuellos" 
-3.57240,40.49063,"F060 A300 M-111 Km 1.4 Paracuellos Túnel DIR Barajas" 
-3.56484,40.49280,"F060 A300 M-111 Km 2.2 Barajas Túnel DIR Paracuellos" 
-3.56493,40.49299,"F060 A300 M-111 Km 2.2 Paracuellos Túnel DIR Barajas" 
-2.37696,39.29540,"F060 A300 N-301 Km 190.5 Casas de Roldán DIR Albacete" 
-2.37130,39.29308,"F060 A300 N-301 Km 191 Casas de Roldán DIR Ocaña" 
-5.44097,36.14464,"F060 A300 N-357 V.P.A. Km 3.014 DIR Ambas" 
-5.44124,36.14022,"F060 A300 N-357 V.P.A. Km 3.488 DIR Ambas" 
-5.44123,36.13671,"F060 A300 N-357 V.P.A. Km 3.898 DIR Ambas" 
-5.44214,36.12597,"F060 A300 N-357 V.P.A. Km 5.288 DIR Ambas" 
-2.96041,43.30174,"F060 ALAN N-637 Km 11.47 Enlace Txoierri DIR Guecho" 
-5.38438,36.20500,"F060 ALAR CA-34 Km 0.1 San Roque DIR A-7" 
-2.74123,43.08878,"F060 ALBZ N-240 Km 32.5 Barázar DIR Bilbao" 
1.18083,41.31477,"F060 ALFA C-14 Km 28.13 La Riba DIR Andorra" 
-6.24842,36.50550,"F060 ALIC N-443 Km 5.5 Puente Carranza DIR Cádiz" 
1.56750,42.52683,"F060 AMOS CG-2 Km 3.8 DIR Ambas" 
-4.42685,37.45684,"F060 BUVI A-339 Km 2.6 Cabra DIR Priego" 
1.44667,38.95683,"F060 CARK Ibiza C-733 Km 5.1 Bar Can Clavos DIR Ibiza" 
-3.64626,37.15397,"F060 CENT GR-3303 Km 3.75 Las Gabias DIR Granada" 
1.72991,42.54564,"F060 CG2- Andorra Dir Andorra Tunel D-Envalira-" 
1.69809,42.54800,"F060 CG2- Andorra Dir Francia Tunel D-Envalira-" 
-3.97031,37.76739,"F060 COLL A-306 Km 55.85 Torredonjimeno DIR El Carpio" 
1.99792,41.40434,"F060 DARK N-340 Km 1242.25 Sant Vicens Horts DIR Barcelona" 
-3.72448,40.33096,"F060 DOCT M-45 Km 6 DIR NW Vía Servicio" 
-4.12745,40.70783,"F060 DUKE N-VI Km 54 DIR N" 
1.78739,41.49196,"F060 EIKA BV-2241 Km 7.75 Masquefa DIR Sant Sadurní" 
-3.88983,38.88262,"F060 ENON CM-4111 Km 7.5 La Puebla DIR Almuradiel" 
-3.49703,37.15442,"F060 ENRI A-395 Km 12.3 Sierra Nevada DIR Granada" 
-6.15207,36.52855,"F060 ENRI A-408 Km 2.5 Puerto-Real DIR Paterna" 
2.17631,41.37240,"F060 ERET Barcelona B-10/R. Litoral Km 11.3 DIR Mataró" 
-2.26706,42.15061,"F060 FIES LR-115 Enciso" 
-4.52028,37.68212,"F060 GNDZ N-432 Km 310.9 Castro del Río DIR Badajoz" 
-16.30728,28.47622,"F060 GUAN Tenerife TF-13 Km 0.51 Av Menceyes DIR Tegueste" 
-16.30772,28.47911,"F060 GUAN Tenerife TF-13 Km 0.84 La Laguna DIR TF-5" 
-1.80156,43.36427,"F060 GURU GI-3440 Km 18.05 DIR Irún" 
-1.79738,43.36206,"F060 GURU GI-3440 Km 18.5 DIR Jaizkíbel" 
1.50846,42.55245,"F060 HAPP Andorra CG-4 Km 0.7 La Massana DIR Arinsal" 
2.63310,41.60453,"F060 IMES N-II Km 665.1 Calella-San Pol DIR Barcelona" 
-4.86252,36.56071,"F060 IRIB A-355 Km 28.5 Ojén DIR Marbella" 
-5.03862,37.00507,"F060 IRIB A-384 Km 89.6 Almargen DIR Antequera" 
-5.11904,36.67564,"F060 IRIB A-397 Km 11.05 Cruce La Ventilla DIR Ronda" 
-6.19666,36.63449,"F060 JAIV CA-31 Km 1.32 Aquapark Jerez DIR Puerto Sta María" 
-3.61475,37.80646,"F060 JJIS A-316 Km 37 Polig. Mancha Real DIR Úbeda" 
-3.39481,36.70812,"F060 JMFA N-340 Km 347.86 Calahonda DIR Almería" 
-3.30724,36.74629,"F060 JMFA N-340 Km 358.94 Castillo Baños DIR Almería" 
1.48222,42.44664,"F060 JULI Andorra CG-1 Km 9.7 Frontera DIR Andorra" 
2.13249,41.37055,"F060 LETA Barcelona Ronda Mig-1 DIR Tibidabo" 
2.12722,41.38472,"F060 LETA Barcelona Ronda Mig-2 DIR Puerto" 
