-4.78728,37.90726,"SEM DRKC Av Calasancio DIR Ambas" 
-4.81547,37.88171,"SEM DROM A-431 Km 2.8 DIR Palma del Río" 
-4.19799,40.71547,"SEM DUKE A-6a San Rafael 1 DIR E" 
-5.58428,42.58564,"SEM DUKE Dr Fleming DIR S" 
-4.18031,40.71157,"SEM DUKE N-VI Km 61.1 DIR W" 
-4.09190,40.67478,"SEM DUKE N-VI N.2 DIR W" 
-5.58022,42.59598,"SEM DUKE Paseo Salamanca DIR SSE" 
-1.12946,37.96826,"SEM DUKE Ronda sur N. DIR E" 
-5.57176,42.59604,"SEM DUKE Sta Nonia N.7 DIR S" 
-3.78286,40.45235,"SEM EDUA Arroyo de Pozuelo 99 DIR Este" 
-3.92048,38.98660,"SEM ENON Rda Calatrava DIR S" 
-3.92855,38.99590,"SEM ENON Rda Carmen DIR E" 
-3.93253,38.98151,"SEM ENON Rda Ciruela DIR NW" 
-3.92552,38.98131,"SEM ENON Rda Granada DIR NE" 
-2.46205,41.76570,"SEM ENTU Cuesta Dehesa Serena 2 DIR Pl Rosario" 
-2.46250,41.76623,"SEM ENTU Tirso de Molina DIR Zaragoza" 
-3.67508,40.43522,"SEM FAFI Francisco Silvela 58 DIR Noroeste" 
-5.99302,37.40720,"SEM FAFI Torneo-Jiménez Becerril DIR Suroeste" 
-3.29379,38.03655,"SEM FARR N-322 Km DIR E" 
-6.98057,38.87264,"SEM FEDO Av Antonio Masa Campos 45 DIR Norte" 
-3.71739,40.49404,"SEM FERV Ventisquero de la Condesa 42 DIR Noroeste" 
-4.71206,41.64183,"SEM FLY- Av Soria 5 DIR Centro" 
3.13137,41.93779,"SEM FRAN C-66 Llofriu DIR Ambas" 
-8.87115,41.90128,"SEM GADG A Guarda Concepcion Arenal" 
2.17362,41.39294,"SEM GEM- Girona 39 DIR Montaña" 
-2.68107,42.85050,"SEM GOTX Av Gasteiz 73 DIR Sur" 
-2.66640,42.84196,"SEM GOTX Pio XII 2 DIR Norte" 
-2.65934,42.86965,"SEM GOTX Portal Gamarra 20 DIR Centro" 
-2.67820,42.84939,"SEM GOTX Ramiro Maeztu 20 DIR Norte" 
-1.94870,43.32130,"SEM GOVI Av José Elósegui 270 DIR Pasajes" 
-2.00147,43.31513,"SEM GOVI Av Zumalakárregui 3 DIR Ondarreta" 
-4.02632,39.86948,"SEM GUAI Av Europa DIR NW" 
-8.69169,43.21141,"SEM IBIZ Fomento 17 DIR Coruña" 
-4.76578,43.42312,"SEM ICAR Av. La Paz 3 DIR Centro" 
